 nm      %
------------
774.9	11.6
776.4	11.6
777.8	11.8
779.3	11.8
780.7	11.7
782.2	11.7
783.6	11.9
785.1	11.9
786.5	12.2
788.0	12.2
789.4	12.0
790.9	12.0
792.3	12.0
793.8	12.0
795.2	11.8
796.7	11.8
798.1	11.5
799.6	11.5
801.0	11.6
802.5	11.6
803.9	11.5
805.4	11.4
806.8	11.3
808.3	11.2
809.7	11.1
811.2	11.1
812.6	11.1
814.1	11.1
815.5	11.2
817.0	11.3
818.4	11.7
819.9	11.7
821.3	11.8
822.8	11.8
824.2	11.5
825.7	11.5
827.1	11.8
828.6	11.8
830.0	11.7
831.5	11.7
832.9	11.7
834.4	11.7
835.8	11.5
837.3	11.4
838.8	11.4
840.2	11.3
841.7	11.0
843.1	11.0
844.6	11.5
846.0	11.5
847.5	11.4
848.9	11.4
850.4	11.6
851.8	11.5
853.3	11.3
854.7	11.3
856.2	11.5
857.6	11.5
859.1	11.4
860.5	11.4
862.0	11.8
863.4	11.8
864.9	11.5
866.3	11.5
867.8	11.5
869.2	11.5
870.7	11.4
872.1	11.4
873.6	11.1
875.0	11.1
876.5	10.9
877.9	10.9
879.4	11.1
880.8	11.1
882.3	10.8
883.7	10.8
885.2	10.4
886.6	10.4
888.1	10.7
889.5	10.7
891.0	11.1
892.4	11.2
893.9	11.1
895.3	11.1
896.8	10.7
898.2	10.7
899.7	10.6
901.1	10.7
902.6	10.8
904.0	10.8
905.5	10.8
906.9	10.8
908.4	10.9
909.8	10.8
911.3	10.6
912.7	10.5
914.2	10.2
915.6	10.2
917.1	10.8
918.6	10.8
920.0	11.0
921.5	11.0
922.9	11.1
924.4	11.1
925.8	10.7
927.3	10.6
928.7	10.8
930.2	10.9
931.6	11.3
933.1	11.4
934.5	11.6
936.0	11.6
937.4	11.3
938.9	11.2
940.3	11.4
941.8	11.5
943.2	11.5
944.7	11.5
946.1	11.5
947.6	11.5
949.0	11.4
950.5	11.4
951.9	11.6
953.4	11.6
954.8	11.5
956.3	11.5
957.7	11.4
959.2	11.4
960.6	11.4
962.1	11.3
963.5	10.9
965.0	10.9
966.4	10.7
967.9	10.7
969.3	10.8
970.8	10.8
972.2	10.7
973.7	10.7
975.1	10.6
976.6	10.5
978.0	10.2
979.5	10.2
980.9	10.2
982.4	10.2
983.8	10.1
985.3	10.1
986.7	10.4
988.2	10.4
989.6	10.6
991.1	10.6
992.5	10.9
994.0	11.0
995.4	11.0
996.9	11.0
998.4	11.0
999.8	11.0
1001.3	10.8
1002.7	10.7
1004.2	10.2
1005.6	10.1
1007.1	10.4
1008.5	10.5
1010.0	10.9
1011.4	10.9
1012.9	10.8
1014.3	10.8
1015.8	10.2
1017.2	10.2
1018.7	10.8
1020.1	10.9
1021.6	11.1
1023.0	11.2
1024.5	11.3
1025.9	11.3
1027.4	11.1
1028.8	11.1
1030.3	11.3
1031.7	11.4
1033.2	11.5
1034.6	11.5
1036.1	11.5
1037.5	11.5
1039.0	11.3
1040.4	11.3
1041.9	10.9
1043.3	10.9
1044.8	11.2
1046.2	11.3
1047.7	11.1
1049.1	11.1
1050.6	11.2
1052.0	11.1
1053.5	11.0
1054.9	11.0
1056.4	10.5
1057.8	10.5
1059.3	10.6
1060.7	10.6
1062.2	10.6
1063.6	10.6
1065.1	10.6
1066.5	10.6
1068.0	10.5
1069.4	10.5
1070.9	10.7
1072.3	10.7
1073.8	10.6
1075.2	10.5
1076.7	10.4
1078.1	10.4
1079.6	10.6
1081.1	10.6
1082.5	10.1
1084.0	10.1
1085.4	10.4
1086.9	10.4
1088.3	10.6
1089.8	10.6
1091.2	10.6
1092.7	10.6
1094.1	10.2
1095.6	10.1
1097.0	10.4
1098.5	10.4
1099.9	10.7
1101.4	10.7
1102.8	10.8
1104.3	10.8
1105.7	10.3
1107.2	10.2
1108.6	10.2
1110.1	10.2
1111.5	10.3
1113.0	10.3
1114.4	10.4
1115.9	10.3
1117.3	10.2
1118.8	10.2
1120.2	10.5
1121.7	10.5
1123.1	10.2
1124.6	10.1
1126.0	9.7
1127.5	9.8
1128.9	9.6
1130.4	9.6
1131.8	9.6
1133.3	9.6
1134.7	9.5
1136.2	9.5
1137.6	9.7
1139.1	9.7
1140.5	9.6
1142.0	9.6
1143.4	9.8
1144.9	9.8
1146.3	9.9
1147.8	10.0
1149.2	10.2
1150.7	10.3
1152.1	10.2
1153.6	10.2
1155.0	10.2
1156.5	10.2
1157.9	10.2
1159.4	10.2
1160.9	10.4
1162.3	10.5
1163.8	10.4
1165.2	10.4
1166.7	9.9
1168.1	9.7
1169.6	9.7
1171.0	9.7
1172.5	9.4
1173.9	9.3
1175.4	9.4
1176.8	9.4
1178.3	9.6
1179.7	9.5
1181.2	9.6
1182.6	9.6
1184.1	9.5
1185.5	9.3
1187.0	9.8
1188.4	9.8
1189.9	10.0
1191.3	10.0
1192.8	9.8
1194.2	9.8
1195.7	9.4
1197.1	9.4
